,date,file_path,debate_title,country
0,2010-09-06,Data/speeches/UK/sylum Backlog 2010-09-06.json,Asylum Backlog,2.0
1,2010-09-06,Data/tmp_text_files/UK/Business without Debate 2010-09-06.txt,,
2,2010-09-06,Data/speeches/UK/ommons Chamber 2010-09-06.json,Commons Chamber,2.0
3,2010-09-06,Data/tmp_text_files/UK/Constituency Boundaries (Isle of Wight) 2010-09-06.txt,,
4,2010-09-06,Data/tmp_text_files/UK/Delegated legislation 2010-09-06.txt,,
5,2010-09-06,Data/speeches/UK/emale Genital Mutilation 2010-09-06.json,Female Genital Mutilation,2.0
6,2010-09-06,Data/speeches/UK/ealth Professionals (Language Requirement) 2010-09-06.json,Health Professionals (Language Requirement),2.0
7,2010-09-06,Data/speeches/UK/ome Department 2010-09-06.json,Home Department,2.0
8,2010-09-06,Data/tmp_text_files/UK/House of Commons 2010-09-06.txt,,
9,2010-09-06,Data/speeches/UK/dentity Cards 2010-09-06.json,Identity Cards,2.0
10,2010-09-06,Data/speeches/UK/mmigration 2010-09-06.json,Immigration,2.0
11,2010-09-06,Data/speeches/UK/mmigration Cap 2010-09-06.json,Immigration Cap,2.0
12,2010-09-06,Data/speeches/UK/icensing 2010-09-06.json,Licensing,2.0
13,2010-09-06,Data/speeches/UK/on-departmental Public Bodies 2010-09-06.json,Non-departmental Public Bodies,2.0
14,2010-09-06,Data/speeches/UK/ral Answers to Questions 2010-09-06.json,Oral Answers to Questions,2.0
15,2010-09-06,Data/speeches/UK/arliamentary Voting System and Constituencies Bill 2010-09-06.json,Parliamentary Voting System and Constituencies Bill,2.0
16,2010-09-06,Data/tmp_text_files/UK/Petition 2010-09-06.txt,,
17,2010-09-06,Data/speeches/UK/hone Tapping 2010-09-06.json,Phone Tapping,2.0
18,2010-09-06,Data/speeches/UK/oints of Order 2010-09-06.json,Points of Order,2.0
19,2010-09-06,Data/speeches/UK/olice Accountability 2010-09-06.json,Police Accountability,2.0
20,2010-09-06,Data/speeches/UK/olice Funding 2010-09-06.json,Police Funding,2.0
21,2010-09-06,Data/speeches/UK/olice Time (Administration) 2010-09-06.json,Police Time (Administration),2.0
22,2010-09-06,Data/tmp_text_files/UK/Prayers 2010-09-06.txt,,
23,2010-09-06,Data/speeches/UK/ublic Expenditure Reductions (Women) 2010-09-06.json,Public Expenditure Reductions (Women),2.0
24,2010-09-06,Data/speeches/UK/ecorded Crime 2010-09-06.json,Recorded Crime,2.0
25,2010-09-06,Data/speeches/UK/opical Questions 2010-09-06.json,Topical Questions,2.0
26,2010-09-06,Data/speeches/UK/S-UK Extradition Treaty 2010-09-06.json,US-UK Extradition Treaty,2.0
27,2010-09-06,Data/speeches/UK/heel-clamping 2010-09-06.json,Wheel-clamping,2.0
